b	f3	3	3a	f7	7	7a	f12	12	12a	f17	17	17a	f23	23	23a	f30	30	30a
330.964	9.56713	11.475	-0.28435	9.5671	-1.425	0.01088	9.56708	6.7	-0.32095	9.56706	-27.025	0.00579	9.56704	-4.975	0	9.56701	-24.6	0.07538
330.967	9.56706	11.4646	-0.23926	9.56703	-4.43303	6.8E-4	9.56701	8.70059	-0.28778	9.56699	-24.0245	-0.05031	9.56697	-3.97486	-0.00481	9.56693	-20.5981	0.01766
330.969	9.56698	11.4542	-0.1942	9.56695	-6.44106	-0.01452	9.56693	10.7012	-0.24964	9.56692	-21.024	-0.09896	9.5669	-1.97472	-0.00465	9.56686	-16.5962	-0.03012
330.972	9.56691	10.4437	-0.15165	9.56688	-5.44909	-0.02725	9.56686	10.7018	-0.2115	9.56685	-17.0235	-0.13766	9.56682	1.02542	0.00298	9.56679	-12.5944	-0.06794
330.974	9.56684	9.43331	-0.11161	9.56681	-4.45711	-0.03752	9.56679	8.70234	-0.17832	9.56678	-14.0231	-0.16889	9.56675	3.02556	0.01557	9.56672	-9.59248	-0.0983
330.977	9.56677	4.42289	-0.08403	9.56674	-1.46514	-0.04034	9.56672	7.70293	-0.14763	9.5667	-10.0226	-0.19019	9.56668	4.0257	0.03065	9.56665	-5.5906	-0.11871
330.979	9.5667	2.41247	-0.06145	9.56667	0.52683	-0.03822	9.56665	7.70352	-0.11694	9.56663	-7.02207	-0.20402	9.56661	4.02584	0.04574	9.56658	-1.58872	-0.12917
330.982	9.56662	0.40205	-0.04387	9.5666	1.5188	-0.03362	9.56658	7.7041	-0.08625	9.56656	-3.02158	-0.2079	9.56654	5.02598	0.0633	9.5665	2.41316	-0.12968
330.984	9.56655	-2.60837	-0.03378	9.56652	2.51077	-0.02656	9.5665	7.70469	-0.05556	9.56649	-0.02109	-0.20433	9.56646	6.02612	0.08336	9.56643	6.41504	-0.12023
330.987	9.56648	-3.61879	-0.02619	9.56645	2.50275	-0.01952	9.56643	6.70528	-0.02735	9.56642	3.97939	-0.1908	9.56639	7.02627	0.1059	9.56636	9.41692	-0.10333
330.989	9.56641	-4.62921	-0.02112	9.56638	2.49472	-0.0125	9.56636	4.70586	-0.00412	9.56634	7.97988	-0.16733	9.56632	8.02641	0.13093	9.56629	12.4188	-0.07896
330.992	9.56634	-5.63964	-0.01856	9.56631	1.48669	-0.00799	9.56629	2.70645	0.01415	9.56627	8.98037	-0.14138	9.56625	7.02655	0.15348	9.56622	12.4207	-0.05459
330.994	9.56627	-6.65006	-0.01851	9.56624	0.47866	-0.00598	9.56622	0.70703	0.02744	9.5662	8.98086	-0.11542	9.56618	4.02669	0.16856	9.56614	12.4226	-0.03021
330.997	9.56619	-6.66048	-0.01849	9.56616	-1.52937	-0.00897	9.56614	-2.29238	0.03328	9.56613	7.98135	-0.09195	9.56611	1.02683	0.17619	9.56607	11.4245	-0.00831
330.999	9.56612	-8.6709	-0.02347	9.56609	-1.53739	-0.01197	9.56607	-3.29179	0.03663	9.56606	6.98184	-0.07096	9.56603	-2.97303	0.17387	9.566	10.4263	0.0111
