b1	1	b2	2	b3	3
339.08	2.0313	339.08	0.63891	343.08	2.8824
339.09	2.0398	339.09	0.64303	343.08	2.922
339.1	2.0484	339.1	0.6472	343.09	2.9625
339.12	2.0571	339.12	0.6514	343.09	3.0037
339.13	2.0658	339.13	0.65564	343.1	3.0458
339.14	2.0746	339.14	0.65992	343.11	3.0888
339.16	2.0834	339.16	0.66424	343.11	3.1327
339.17	2.0923	339.17	0.66859	343.12	3.1775
339.18	2.1012	339.18	0.67298	343.12	3.2232
339.2	2.1102	339.2	0.67742	343.13	3.2699
339.21	2.1193	339.21	0.68189	343.13	3.3176
339.22	2.1284	339.22	0.6864	343.14	3.3664
339.24	2.1376	339.24	0.69096	343.14	3.4162
339.25	2.1468	339.25	0.69555	343.15	3.4671
339.26	2.1561	339.26	0.70019	343.16	3.5191
339.28	2.1655	339.28	0.70487	343.16	3.5722
339.29	2.1749	339.29	0.70959	343.17	3.6266
339.3	2.1844	339.3	0.71436	343.17	3.6821
339.32	2.194	339.32	0.71917	343.18	3.7389
339.33	2.2036	339.33	0.72402	343.18	3.797
339.34	2.2133	339.34	0.72892	343.19	3.8565
339.36	2.223	339.36	0.73386	343.19	3.9173
339.37	2.2328	339.37	0.73885	343.2	3.9795
339.38	2.2427	339.38	0.74389	343.2	4.0431
339.4	2.2527	339.4	0.74897	343.21	4.1083
339.41	2.2627	339.41	0.7541	343.22	4.175
339.42	2.2728	339.42	0.75928	343.22	4.2433
339.44	2.2829	339.44	0.76451	343.23	4.3133
339.45	2.2932	339.45	0.76978	343.23	4.3849
339.46	2.3034	339.46	0.77511	343.24	4.4583
339.48	2.3138	339.48	0.78049	343.24	4.5335
339.49	2.3243	339.49	0.78592	343.25	4.6106
339.5	2.3348	339.5	0.7914	343.25	4.6896
339.52	2.3454	339.52	0.79693	343.26	4.7706
339.53	2.356	339.53	0.80251	343.27	4.8536
339.54	2.3668	339.54	0.80815	343.27	4.9388
339.56	2.3776	339.56	0.81384	343.28	5.0261
339.57	2.3885	339.57	0.81959	343.28	5.1157
339.58	2.3994	339.58	0.8254	343.29	5.2077
339.6	2.4105	339.6	0.83126	343.29	5.302
339.61	2.4216	339.61	0.83717	343.3	5.3989
339.62	2.4328	339.62	0.84315	343.3	5.4984
339.64	2.4441	339.64	0.84918	343.31	5.6005
339.65	2.4554	339.65	0.85527	343.31	5.7055
339.66	2.4669	339.66	0.86143	343.32	5.8133
339.68	2.4784	339.68	0.86764	343.33	5.9241
339.69	2.49	339.69	0.87391	343.33	6.0379
339.7	2.5017	339.7	0.88025	343.34	6.155
339.72	2.5135	339.72	0.88665	343.34	6.2754
339.73	2.5253	339.73	0.89311	343.35	6.3992
339.74	2.5373	339.74	0.89964	343.35	6.5266
339.76	2.5493	339.76	0.90624	343.36	6.6577
339.77	2.5614	339.77	0.9129	343.36	6.7926
339.78	2.5737	339.78	0.91962	343.37	6.9315
339.8	2.586	339.8	0.92642	343.38	7.0746
339.81	2.5984	339.81	0.93328	343.38	7.2219
339.82	2.6108	339.82	0.94022	343.39	7.3738
339.84	2.6234	339.84	0.94722	343.39	7.5302
