b	f	mn	mna
285.995	11.0719	-28.6	25.2751
286.02	11.071	-23.5451	23.5118
286.044	11.07	-19.4903	21.8476
286.069	11.0691	-17.4354	20.2337
286.093	11.0682	-15.3805	18.67
286.118	11.0672	-15.3257	17.1076
286.142	11.0663	-16.2708	15.5221
286.166	11.0653	-15.2159	13.9624
286.191	11.0644	-14.161	12.4285
286.215	11.0634	-11.1062	10.9693
286.24	11.0625	-7.05129	9.60928
286.264	11.0615	-3.99642	8.32391
286.289	11.0606	-0.94154	7.11322
286.313	11.0596	2.11333	5.97723
286.338	11.0587	5.1682	4.91592
286.362	11.0578	7.22307	3.90485
286.387	11.0568	6.27794	2.87068
286.411	11.0559	6.33281	1.83785
286.435	11.0549	7.38769	0.83081
286.46	11.054	8.44256	-0.15044
286.484	11.053	7.49743	-1.1548
286.509	11.0521	6.5523	-2.18227
286.533	11.0512	4.60717	-3.25729
286.558	11.0502	3.66205	-4.35542
286.582	11.0493	1.71692	-5.5011
286.607	11.0483	-1.22821	-6.7188
286.631	11.0474	-2.17334	-7.9596
286.655	11.0464	-1.11847	-9.17461
286.68	11.0455	-0.0636	-10.3638
286.704	11.0446	1.99128	-11.5028
286.729	11.0436	4.04615	-12.5916
286.753	11.0427	6.10102	-13.63
286.778	11.0417	9.15589	-14.5939
286.802	11.0408	14.2108	-15.4341
286.827	11.0398	19.2656	-16.1507
286.851	11.0389	22.3205	-16.7927
286.875	11.038	22.3754	-17.4333
286.9	11.037	22.4303	-18.0725
286.924	11.0361	23.4851	-18.686
286.949	11.0351	23.54	-19.2981
286.973	11.0342	23.5949	-19.9089
286.998	11.0333	23.6497	-20.5184
287.022	11.0323	23.7046	-21.1265
287.047	11.0314	24.7595	-21.7088
287.071	11.0304	24.8144	-22.2898
287.096	11.0295	24.8692	-22.8694
287.12	11.0286	22.9241	-23.4966
287.144	11.0276	22.979	-24.1224
287.169	11.0267	22.0338	-24.7714
287.193	11.0257	21.0887	-25.4434
287.218	11.0248	21.1436	-26.1141
287.242	11.0239	21.1985	-26.7835
287.267	11.0229	19.2533	-27.5005
287.291	11.022	17.3082	-28.265
287.316	11.0211	17.3631	-29.0281
287.34	11.0201	16.4179	-29.8144
287.364	11.0192	14.4728	-30.6482
287.389	11.0182	13.5277	-31.5051
287.413	11.0173	13.5826	-32.3607
287.438	11.0164	12.6374	-33.2394
287.462	11.0154	14.6923	-34.0678
287.487	11.0145	16.7472	-34.846
287.511	11.0136	19.8021	-35.5495
287.536	11.0126	21.8569	-36.2028
287.56	11.0117	23.9118	-36.8059
287.585	11.0108	25.9667	-37.3587
287.609	11.0098	27.0215	-37.8857
287.633	11.0089	28.0764	-38.3869
287.658	11.0079	29.1313	-38.8623
287.682	11.007	31.1862	-39.2875
287.707	11.0061	32.241	-39.6869
287.731	11.0051	34.2959	-40.0361
287.756	11.0042	35.3508	-40.3594
287.78	11.0033	36.4056	-40.657
287.805	11.0023	38.4605	-40.9043
287.829	11.0014	41.5154	-41.077
287.853	11.0005	43.5703	-41.1994
287.878	10.9995	44.6251	-41.296
287.902	10.9986	45.68	-41.3668
287.927	10.9977	46.7349	-41.4119
287.951	10.9967	48.7897	-41.4066
287.976	10.9958	50.8446	-41.3512
288	10.9949	53.8995	-41.2211
288.025	10.9939	55.9543	-41.0407
288.049	10.993	56.0092	-40.859
288.074	10.9921	55.0641	-40.7004
288.098	10.9911	52.119	-40.6137
288.122	10.9902	51.1738	-40.5502
288.147	10.9893	49.2287	-40.5343
288.171	10.9883	48.2836	-40.5415
288.196	10.9874	47.3385	-40.5718
288.22	10.9865	46.3933	-40.6251
288.245	10.9855	46.4482	-40.6772
288.269	10.9846	46.5031	-40.7279
288.294	10.9837	48.5579	-40.7283
288.318	10.9827	49.6128	-40.703
288.342	10.9818	49.6677	-40.6763
288.367	10.9809	50.7226	-40.6239
288.391	10.9799	53.7774	-40.4967
288.416	10.979	55.8323	-40.3193
288.44	10.9781	58.8872	-40.0672
288.465	10.9772	62.9421	-39.716
288.489	10.9762	66.9969	-39.2657
288.514	10.9753	69.0518	-38.7651
288.538	10.9744	69.1067	-38.2631
288.562	10.9734	69.1615	-37.7598
288.587	10.9725	68.2164	-37.2797
288.611	10.9716	68.2713	-36.7982
288.636	10.9706	69.3261	-36.2908
288.66	10.9697	69.381	-35.7822
288.685	10.9688	67.4359	-35.3211
288.709	10.9679	65.4908	-34.9076
288.734	10.9669	62.5456	-34.566
288.758	10.966	60.6005	-34.2721
288.783	10.9651	58.6554	-34.0256
288.807	10.9641	58.7103	-33.7779
288.831	10.9632	59.7651	-33.5044
288.856	10.9623	60.82	-33.205
288.88	10.9614	61.8749	-32.8799
288.905	10.9604	62.9297	-32.529
288.929	10.9595	62.9846	-32.1767
288.954	10.9586	63.0395	-31.8231
288.978	10.9577	62.0943	-31.4926
289.003	10.9567	60.1492	-31.2097
289.027	10.9558	60.2041	-30.9254
289.051	10.9549	61.259	-30.6153
