bcuso4	cuso4	bcucl2	cucl2
285.000	0.0204503	290.000	0.0408518
285.049	0.0206092	290.049	0.0413183
285.098	0.0207698	290.098	0.0417926
285.147	0.0209322	290.147	0.0422750
285.196	0.0210963	290.196	0.0427657
285.244	0.0212622	290.244	0.0432648
285.293	0.0214299	290.293	0.0437725
285.342	0.0215994	290.342	0.0442891
285.391	0.0217708	290.391	0.0448148
285.440	0.0219441	290.440	0.0453497
285.489	0.0221193	290.489	0.0458941
285.538	0.0222965	290.538	0.0464482
285.587	0.0224756	290.587	0.0470123
285.635	0.0226567	290.635	0.0475866
285.684	0.0228399	290.684	0.0481714
285.733	0.0230251	290.733	0.0487669
285.782	0.0232124	290.782	0.0493734
285.831	0.0234018	290.831	0.0499912
285.880	0.0235934	290.880	0.0506205
285.929	0.0237871	290.929	0.0512616
285.978	0.0239831	290.978	0.0519150
286.026	0.0241813	291.026	0.0525808
286.075	0.0243818	291.075	0.0532594
286.124	0.0245846	291.124	0.0539512
286.173	0.0247897	291.173	0.0546564
286.222	0.0249972	291.222	0.0553756
286.271	0.0252072	291.271	0.0561089
286.320	0.0254196	291.320	0.0568569
286.369	0.0256345	291.369	0.0576199
286.417	0.0258519	291.417	0.0583983
286.466	0.0260719	291.466	0.0591926
286.515	0.0262945	291.515	0.0600032
286.564	0.0265198	291.564	0.0608307
286.613	0.0267477	291.613	0.0616753
286.662	0.0269784	291.662	0.0625378
286.711	0.0272119	291.711	0.0634185
286.760	0.0274481	291.760	0.0643180
286.808	0.0276873	291.808	0.0652369
286.857	0.0279293	291.857	0.0661757
286.906	0.0281743	291.906	0.0671351
286.955	0.0284223	291.955	0.0681157
287.004	0.0286733	292.004	0.0691181
287.053	0.0289274	292.053	0.0701430
287.102	0.0291847	292.102	0.0711911
287.151	0.0294452	292.151	0.0722631
287.199	0.0297089	292.199	0.0733598
287.248	0.0299759	292.248	0.0744820
287.297	0.0302462	292.297	0.0756306
287.346	0.0305200	292.346	0.0768062
287.395	0.0307972	292.395	0.0780100
287.444	0.0310780	292.444	0.0792427
287.493	0.0313623	292.493	0.0805055
287.542	0.0316503	292.542	0.0817992
287.590	0.0319419	292.590	0.0831250
287.639	0.0322373	292.639	0.0844839
287.688	0.0325366	292.688	0.0858772
287.737	0.0328397	292.737	0.0873061
287.786	0.0331467	292.786	0.0887717
287.835	0.0334578	292.835	0.0902756
287.884	0.0337730	292.884	0.0918189
287.933	0.0340923	292.933	0.0934033
287.981	0.0344159	292.981	0.0950302
288.030	0.0347437	293.030	0.0967012
288.079	0.0350760	293.079	0.0984181
288.128	0.0354127	293.128	0.100183
288.177	0.0357539	293.177	0.101996
288.226	0.0360997	293.226	0.103862
288.275	0.0364502	293.275	0.105781
288.324	0.0368055	293.324	0.107755
288.372	0.0371656	293.372	0.109787
288.421	0.0375307	293.421	0.111880
288.470	0.0379007	293.470	0.114035
288.519	0.0382760	293.519	0.116256
288.568	0.0386564	293.568	0.118546
288.617	0.0390421	293.617	0.120906
288.666	0.0394333	293.666	0.123341
288.715	0.0398299	293.715	0.125854
288.763	0.0402321	293.763	0.128448
288.812	0.0406401	293.812	0.131127
288.861	0.0410538	293.861	0.133895
288.910	0.0414735	293.910	0.136756
288.959	0.0418992	293.959	0.139714
289.008	0.0423311	294.008	0.142776
289.057	0.0427692	294.057	0.145944
289.106	0.0432136	294.106	0.149225
289.154	0.0436646	294.154	0.152625
289.203	0.0441222	294.203	0.156149
289.252	0.0445865	294.252	0.159804
289.301	0.0450577	294.301	0.163597
