xb	xfa	a	aa	xfb	b	ba	xfc	c	ca	xfd	d	da	xfe	e	ea	xff	f	fa	xfh	h	ha	xfg	g	ga	xfi	i	ia	xfk	k	ka
328.865	9.62565	-8.35	2.58155	9.61947	2.57499	1E-5	9.62081	-1.325	2.18557	9.61983	-87	-1E-5	9.61974	-4.39762	0.85938	9.61689	9.13107	0	9.63034	-1.6	0.00396	9.61822	19.65	-0.09535	9.61822	19.925	-0.16228	9.61822	11.2679	-0.09486
328.868	9.62557	-8.32649	2.43299	9.61939	2.61225	-0.13718	9.62073	-3.30278	2.06767	9.61976	-84	-0.01501	9.61967	-5.38998	0.80076	9.61682	7.13723	0.00269	9.63026	-2.60272	0.00281	9.61815	20.6522	-0.0495	9.61815	11.9262	-0.11718	9.61815	10.2708	-0.07116
328.87	9.6255	-8.30298	2.28448	9.61932	1.64951	-0.27676	9.62066	-7.28056	1.93987	9.61969	-82	-0.02504	9.61959	-4.38233	0.74465	9.61674	6.14339	0.00291	9.63019	-2.60544	0.00165	9.61807	18.6544	-0.00862	9.61808	6.92733	-0.08451	9.61808	8.27376	-0.05242
328.873	9.62543	-7.27947	2.13852	9.61925	1.68677	-0.41626	9.62059	-9.25835	1.80716	9.61962	-80	-0.0301	9.61952	-3.37469	0.69104	9.61667	3.14955	-0.00431	9.63012	-2.60817	4.9E-4	9.618	16.6566	0.02729	9.61801	2.9285	-0.06178	9.61801	6.27668	-0.03865
328.875	9.62535	-6.25596	1.9951	9.61918	0.72403	-0.55814	9.62052	-11.2361	1.66953	9.61954	-79	-0.03268	9.61945	-1.36704	0.64243	9.6166	2.15571	-0.014	9.63004	-2.61089	-6.8E-4	9.61793	15.6587	0.06073	9.61793	-0.07034	-0.04651	9.61793	4.27961	-0.02984
328.878	9.62528	-4.23245	1.85672	9.6191	-0.23871	-0.70242	9.62044	-11.2139	1.53196	9.61947	-78	-0.03276	9.61938	1.6406	0.60129	9.61653	1.16186	-0.02616	9.62997	-1.61361	6.3E-4	9.61785	12.6609	0.08671	9.61786	-3.06917	-0.03869	9.61786	4.28254	-0.02102
328.88	9.62521	-4.20894	1.71839	9.61903	-0.20145	-0.84661	9.62037	-10.1917	1.39692	9.6194	-78	-0.03285	9.6193	4.64825	0.56763	9.61645	2.16802	-0.03582	9.6299	-1.61634	0.00193	9.61778	11.6631	0.1102	9.61779	-5.068	-0.03584	9.61779	6.28547	-0.00723
328.883	9.62514	-4.18543	1.58012	9.61896	-0.16419	-0.9907	9.6203	-8.16948	1.26692	9.61932	-77	-0.03045	9.61923	8.65589	0.54393	9.61638	2.17418	-0.04547	9.62983	-1.61906	0.00323	9.61771	10.6653	0.13122	9.61772	-6.06684	-0.03548	9.61772	6.2884	0.00657
328.885	9.62506	-4.16192	1.44191	9.61889	0.87306	-1.13221	9.62022	-7.14727	1.13946	9.61925	-76	-0.02556	9.61916	9.66354	0.52274	9.61631	2.18034	-0.0551	9.62975	-3.62178	-4.5E-4	9.61764	9.66749	0.14975	9.61764	-7.06567	-0.0376	9.61764	5.29133	0.0179
328.888	9.62499	-3.13841	1.30624	9.61881	1.91032	-1.27115	9.62015	-5.12505	1.01702	9.61918	-75	-0.01819	9.61909	8.67118	0.49908	9.61624	1.1865	-0.0672	9.62968	-4.6245	-0.00663	9.61756	7.66967	0.16332	9.61757	-8.06451	-0.0422	9.61757	5.29426	0.02923
