b1	1	b2	2
342.96	3.1611	342.69	1.6445
342.97	3.206	342.7	1.6648
342.97	3.2519	342.7	1.6856
342.98	3.2987	342.71	1.7067
342.98	3.3464	342.71	1.7281
342.99	3.395	342.72	1.7499
342.99	3.4446	342.72	1.7722
343	3.4953	342.73	1.7948
343	3.5469	342.74	1.8178
343.01	3.5996	342.74	1.8412
343.01	3.6534	342.75	1.865
343.02	3.7083	342.75	1.8893
343.02	3.7643	342.76	1.914
343.02	3.8215	342.76	1.9392
343.03	3.8798	342.77	1.9648
343.03	3.9395	342.77	1.9909
343.04	4.0003	342.78	2.0175
343.04	4.0625	342.78	2.0446
343.05	4.126	342.79	2.0721
343.05	4.1909	342.8	2.1002
343.06	4.2571	342.8	2.1289
343.06	4.3248	342.81	2.158
343.07	4.394	342.81	2.1878
343.07	4.4647	342.82	2.2181
343.08	4.537	342.82	2.2489
343.08	4.6109	342.83	2.2804
343.09	4.6865	342.83	2.3125
343.09	4.7637	342.84	2.3452
343.1	4.8427	342.84	2.3786
343.1	4.9235	342.85	2.4126
343.11	5.0061	342.86	2.4473
343.11	5.0907	342.86	2.4827
343.12	5.1772	342.87	2.5189
343.12	5.2657	342.87	2.5557
343.13	5.3564	342.88	2.5933
343.13	5.4491	342.88	2.6317
343.14	5.5441	342.89	2.6708
343.14	5.6413	342.89	2.7108
343.15	5.7409	342.9	2.7516
343.15	5.8429	342.9	2.7932
343.16	5.9474	342.91	2.8357
343.16	6.0544	342.92	2.8792
343.17	6.1641	342.92	2.9235
343.17	6.2765	342.93	2.9688
343.18	6.3917	342.93	3.0151
343.18	6.5098	342.94	3.0624
343.19	6.6309	342.94	3.1107
343.19	6.7551	342.95	3.16
343.2	6.8825	342.95	3.2105
343.2	7.0132	342.96	3.2621
343.21	7.1473	342.96	3.3148
343.21	7.2849	342.97	3.3687
343.22	7.4261	342.98	3.4238
343.22	7.5711	342.98	3.4802
343.23	7.7199	342.99	3.5379
343.23	7.8728	342.99	3.5969
343.24	8.0298	343	3.6573
343.24	8.191	343	3.7191
343.25	8.3567	343.01	3.7823
343.25	8.5271	343.01	3.847
343.26	8.7021	343.02	3.9133
343.26	8.8821	343.02	3.9811
343.27	9.0671	343.03	4.0506
343.27	9.2574	343.04	4.1218
343.28	9.4532	343.04	4.1947
343.28	9.6547	343.05	4.2693
343.29	9.862	343.05	4.3459
343.29	10.075	343.06	4.4243
343.3	10.295	343.06	4.5047
343.3	10.521	343.07	4.5871
343.31	10.754	343.07	4.6717
343.31	10.995	343.08	4.7584
