b	epr	epra	sepr	seprs	sepra	seprsa
325.907	-38	-9E-5	20	229.286	1E-4	1.9E-4
325.91	-33	0.73293	16	225.286	0.77049	0.03756
325.913	-29	1.47962	13	222.286	1.53062	0.051
325.917	-27	2.23315	10	219.286	2.2805	0.04735
325.92	-23	3.00035	5	214.286	3.01328	0.01293
325.924	-21	3.7744	1	210.286	3.73239	-0.04201
325.927	-19	4.55528	-4	205.286	4.43441	-0.12087
325.931	-19	5.33616	-6	203.286	5.12958	-0.20658
325.934	-20	6.11362	-8	201.286	5.81792	-0.2957
325.937	-20	6.89108	-8	201.286	6.50626	-0.38482
325.941	-21	7.66512	-8	201.286	7.1946	-0.47052
325.944	-22	8.43575	-8	201.286	7.88294	-0.55281
325.948	-20	9.21321	-9	200.286	8.56786	-0.64535
325.951	-19	9.99409	-8	201.286	9.2562	-0.73789
325.954	-21	10.7681	-7	202.286	9.94796	-0.82017
325.958	-20	11.5456	-6	203.286	10.6431	-0.90245
325.961	-20	12.3231	-6	203.286	11.3383	-0.98475
325.965	-17	13.1108	-4	205.286	12.0403	-1.07044
325.968	-15	13.9053	-2	207.286	12.7492	-1.15615
325.972	-12	14.7101	-1	208.286	13.4614	-1.24869
325.975	-11	15.5184	0	209.286	14.1771	-1.34123
325.978	-12	16.3232	0	209.286	14.8928	-1.43035
325.982	-12	17.128	0	209.286	15.6085	-1.51947
325.985	-11	17.9362	-2	207.286	16.3174	-1.61885
325.989	-11	18.7445	-2	207.286	17.0262	-1.71823
325.992	-11	19.5527	-2	207.286	17.7351	-1.81761
325.995	-12	20.3575	-4	205.286	18.4371	-1.92041
325.999	-15	21.152	-5	204.286	19.1357	-2.01637
326.002	-19	21.9329	-6	203.286	19.8309	-2.10207
326.006	-21	22.707	-7	202.286	20.5226	-2.18436
326.009	-22	23.4776	-8	201.286	21.211	-2.26665
326.013	-23	24.2448	-9	200.286	21.8959	-2.34892
326.016	-24	25.0086	-9	200.286	22.5808	-2.42779
326.019	-23	25.7758	-8	201.286	23.2691	-2.50666
326.023	-22	26.5464	-7	202.286	23.9609	-2.58553
326.026	-23	27.3136	-7	202.286	24.6527	-2.66098
326.03	-24	28.0774	-6	203.286	25.3478	-2.72958
326.033	-26	28.8344	-5	204.286	26.0464	-2.78794
326.037	-29	29.5811	-3	206.286	26.7519	-2.82919
326.04	-32	30.3175	-1	208.286	27.4641	-2.85336
326.043	-35	31.0437	-1	208.286	28.1764	-2.86727
326.047	-38	31.7596	-1	208.286	28.8887	-2.87093
326.05	-40	32.4687	-1	208.286	29.6009	-2.86774
326.054	-40	33.1778	-1	208.286	30.3132	-2.86456
326.057	-41	33.8834	-2	207.286	31.0221	-2.86137
326.06	-40	34.5925	-4	205.286	31.7241	-2.86844
326.064	-40	35.3016	-7	202.286	32.4158	-2.88578
326.067	-38	36.0175	-10	199.286	33.0973	-2.92019
326.071	-36	36.7403	-13	196.286	33.7686	-2.97171
326.074	-37	37.4596	-16	193.286	34.4296	-3.03006
326.078	-38	38.1756	-18	191.286	35.0837	-3.09184
326.081	-39	38.8881	-20	189.286	35.731	-3.15703
326.084	-41	39.5937	-21	188.286	36.3749	-3.2188
326.088	-44	40.2891	-20	189.286	37.0223	-3.26689
326.091	-46	40.9777	-21	188.286	37.6661	-3.31158
326.095	-50	41.6526	-22	187.286	38.3066	-3.34599
326.098	-54	42.3138	-22	187.286	38.9471	-3.36674
326.101	-57	42.9648	-23	186.286	39.5842	-3.38066
326.105	-59	43.6089	-22	187.286	40.2246	-3.38431
326.108	-61	44.2462	-21	188.286	40.8685	-3.3777
326.112	-62	44.8801	-20	189.286	41.5158	-3.36426
326.115	-62	45.514	-17	192.286	42.1734	-3.34057
326.119	-59	46.1581	-15	194.286	42.8378	-3.32029
326.122	-56	46.8125	-12	197.286	43.5125	-3.30002
326.125	-53	47.4771	-11	198.286	44.1906	-3.28658
326.129	-52	48.1452	-12	197.286	44.8652	-3.27997
326.132	-49	48.8235	-12	197.286	45.5399	-3.28363
326.136	-46	49.5121	-13	196.286	46.2111	-3.30095
326.139	-44	50.2075	-14	195.286	46.879	-3.32853
326.142	-43	50.9063	-18	191.286	47.5331	-3.37321
326.146	-43	51.6052	-21	188.286	48.177	-3.42815
326.149	-44	52.3006	-24	185.286	48.8107	-3.48993
326.153	-44	52.996	-26	183.286	49.4374	-3.55853
326.156	-45	53.688	-29	180.286	50.054	-3.63398
326.16	-47	54.3731	-33	176.286	50.6569	-3.71626
326.163	-47	55.0583	-35	174.286	51.2529	-3.80539
326.166	-48	55.74	-35	174.286	51.8489	-3.89109
326.17	-47	56.4252	-35	174.286	52.445	-3.98021
326.173	-46	57.1138	-36	173.286	53.0376	-4.07617
326.177	-46	57.8023	-36	173.286	53.6302	-4.17213
326.18	-47	58.4875	-37	172.286	54.2194	-4.26809
326.184	-47	59.1726	-37	172.286	54.8086	-4.36405
326.187	-46	59.8612	-36	173.286	55.4012	-4.46001
326.19	-43	60.56	-36	173.286	55.9938	-4.56622
326.194	-40	61.2691	-36	173.286	56.5864	-4.6827
326.197	-37	61.9885	-36	173.286	57.179	-4.80943
326.201	-35	62.7147	-36	173.286	57.7717	-4.943
326.204	-33	63.4477	-36	173.286	58.3643	-5.0834
326.207	-31	64.1875	-36	173.286	58.9569	-5.23063
326.211	-27	64.9411	-35	174.286	59.5529	-5.38814
326.214	-23	65.7083	-35	174.286	60.1489	-5.55931
326.218	-21	66.4823	-35	174.286	60.745	-5.73732
326.221	-19	67.2632	-35	174.286	61.341	-5.92216
326.225	-19	68.0441	-34	175.286	61.9405	-6.1036
326.228	-19	68.8249	-34	175.286	62.5399	-6.28502
326.231	-19	69.6058	-35	174.286	63.136	-6.46986
326.235	-18	70.3901	-35	174.286	63.732	-6.65814
326.238	-17	71.1778	-34	175.286	64.3314	-6.8464
326.242	-17	71.9656	-33	176.286	64.9343	-7.03125
326.245	-18	72.7499	-32	177.286	65.5406	-7.20926
326.248	-21	73.5239	-32	177.286	66.1469	-7.37701
326.252	-24	74.2877	-31	178.286	66.7566	-7.53109
326.255	-27	75.0412	-31	178.286	67.3663	-7.67491
326.259	-27	75.7947	-30	179.286	67.9794	-7.81532
326.262	-27	76.5483	-29	180.286	68.596	-7.9523
326.266	-27	77.3018	-29	180.286	69.2125	-8.08928
326.269	-25	78.0622	-30	179.286	69.8256	-8.23653
326.272	-24	78.826	-31	178.286	70.4354	-8.39061
326.276	-24	79.5897	-32	177.286	71.0417	-8.54809
326.279	-22	80.3604	-32	177.286	71.6479	-8.71244
326.283	-22	81.131	-34	175.286	72.2474	-8.88362
326.286	-19	81.9119	-34	175.286	72.8468	-9.06505
326.289	-19	82.6928	-34	175.286	73.4463	-9.24647
326.293	-21	83.4668	-35	174.286	74.0423	-9.42447
326.296	-24	84.2306	-36	173.286	74.6349	-9.59564
326.3	-28	84.9807	-36	173.286	75.2275	-9.75315
326.303	-31	85.7206	-35	174.286	75.8236	-9.89697
326.307	-32	86.457	-35	174.286	76.4196	-10.0374
326.31	-34	87.1866	-33	176.286	77.0225	-10.1641
326.313	-35	87.9128	-31	178.286	77.6322	-10.2806
326.317	-35	88.6389	-29	180.286	78.2487	-10.3902
326.32	-35	89.3651	-28	181.286	78.8687	-10.4964
326.324	-34	90.0947	-29	180.286	79.4852	-10.6095
326.327	-33	90.8277	-29	180.286	80.1018	-10.726
326.331	-32	91.5642	-29	180.286	80.7184	-10.8458
326.334	-31	92.304	-28	181.286	81.3383	-10.9657
326.337	-29	93.0507	-29	180.286	81.9548	-11.0959
326.341	-26	93.8077	-30	179.286	82.568	-11.2397
326.344	-25	94.568	-30	179.286	83.1811	-11.3869
326.348	-25	95.3284	-31	178.286	83.7908	-11.5376
326.351	-25	96.0888	-34	175.286	84.3903	-11.6985
326.354	-25	96.8491	-35	174.286	84.9863	-11.8628
326.358	-25	97.6095	-37	172.286	85.5755	-12.034
326.361	-26	98.3665	-40	169.286	86.1544	-12.212
326.365	-27	99.12	-42	167.286	86.7265	-12.3935
326.368	-29	99.8667	-42	167.286	87.2986	-12.5681
326.372	-30	100.61	-41	168.286	87.8742	-12.7358
326.375	-30	101.353	-41	168.286	88.4497	-12.9036
326.378	-30	102.097	-40	169.286	89.0286	-13.0679
326.382	-31	102.836	-40	169.286	89.6076	-13.2288
326.385	-29	103.583	-38	171.286	90.1933	-13.3897
326.389	-28	104.333	-37	172.286	90.7825	-13.5506
326.392	-27	105.087	-37	172.286	91.3717	-13.715
326.395	-29	105.833	-37	172.286	91.9609	-13.8725
326.399	-31	106.573	-37	172.286	92.5501	-14.0231
326.402	-32	107.31	-36	173.286	93.1427	-14.167
326.406	-32	108.046	-37	172.286	93.7319	-14.3142
326.409	-31	108.786	-37	172.286	94.3211	-14.4649
326.413	-31	109.526	-37	172.286	94.9103	-14.6155
326.416	-32	110.262	-38	171.286	95.4961	-14.7662
326.419	-32	110.999	-39	170.286	96.0785	-14.9203
326.423	-32	111.735	-40	169.286	96.6574	-15.0777
326.426	-31	112.475	-40	169.286	97.2363	-15.2387
326.43	-30	113.218	-42	167.286	97.8084	-15.4098
326.433	-30	113.962	-42	167.286	98.3805	-15.581
326.437	-31	114.701	-41	168.286	98.9561	-15.7454
326.44	-31	115.441	-41	168.286	99.5316	-15.9097
326.443	-30	116.185	-41	168.286	100.107	-16.0774
