b	1epr	1epra	2epr	2epa	1sepr	1sepra	2sepr1	2sepr1a	2sepr2	2sepr2a
330.116	21	4E-5	-53	2E-5	-60	0	-26	-3E-5	-141	1E-5
330.119	16	-0.37757	-52	0.01749	-59	0.40684	-22	0.78822	-138	0.83036
330.122	10	-0.77257	-51	0.03786	-72	0.77596	-17	1.59097	-134	1.67231
330.125	5	-1.18209	-51	0.05823	-82	1.11608	-11	2.41112	-131	2.52297
330.127	0	-1.6061	-51	0.0786	-86	1.44459	-7	3.24288	-128	3.38233
330.13	-2	-2.03592	-52	0.09607	-82	1.7847	-4	4.08334	-124	4.25329
330.133	-3	-2.46864	-53	0.11064	-86	2.11322	0	4.93541	-120	5.13586
330.136	-6	-2.91006	-53	0.12521	-81	2.45623	2	5.79328	-116	6.03002
330.139	-8	-3.35728	-53	0.13978	-83	2.79345	2	6.65114	-113	6.93289
330.142	-9	-3.80741	-52	0.15725	-83	3.13067	1	7.50611	-110	7.84447
330.145	-9	-4.25753	-50	0.18053	-74	3.49399	-2	8.35237	-107	8.76474
330.148	-8	-4.70475	-48	0.2096	-67	3.87761	-4	9.19283	-103	9.69662
330.151	-8	-5.15197	-47	0.24157	-60	4.28155	-5	10.0304	-99	10.6401
330.154	-9	-5.6021	-47	0.27355	-61	4.68258	-6	10.8651	-96	11.5923
330.156	-11	-6.05802	-47	0.30552	-63	5.07781	-7	11.6968	-94	12.5503
330.159	-12	-6.51685	-47	0.3375	-70	5.45273	-7	12.5286	-92	13.514
330.162	-15	-6.98438	-48	0.36657	-77	5.80735	-7	13.3603	-89	14.4865
330.165	-17	-7.4577	-50	0.38984	-84	6.14167	-7	14.1921	-89	15.459
330.168	-19	-7.93684	-51	0.41021	-88	6.46438	-9	15.0181	-91	16.4257
330.171	-21	-8.42177	-52	0.42768	-86	6.79289	-8	15.8469	-93	17.3866
330.174	-22	-8.9096	-53	0.44225	-78	7.14461	-6	16.6816	-95	18.3417
330.177	-22	-9.39743	-53	0.45682	-74	7.50794	-4	17.522	-97	19.291
330.18	-22	-9.88527	-52	0.47429	-81	7.85095	-3	18.3654	-98	20.2373
330.183	-23	-10.376	-52	0.49176	-88	8.17366	-2	19.2116	-98	21.1837
330.185	-23	-10.8667	-53	0.50633	-89	8.49347	-2	20.0579	-98	22.1301
330.188	-24	-11.3604	-53	0.5209	-87	8.81909	-3	20.9013	-97	23.0794
330.191	-24	-11.854	-54	0.53257	-87	9.1447	-4	21.7417	-97	24.0287
330.194	-25	-12.3505	-56	0.53844	-86	9.47321	-5	22.5793	-96	24.9809
330.197	-26	-12.85	-57	0.54141	-85	9.80463	-4	23.4198	-95	25.9359
330.2	-24	-13.3436	-57	0.54437	-87	10.1302	-3	24.2631	-93	26.8968
330.203	-21	-13.8285	-58	0.54444	-86	10.4588	-1	25.1123	-91	27.8635
330.206	-17	-14.3019	-61	0.5358	-85	10.7902	1	25.9673	-90	28.8331
330.209	-14	-14.7665	-63	0.52136	-86	11.1187	2	26.8251	-87	29.8114
330.212	-13	-15.2282	-66	0.49822	-80	11.4646	4	27.6888	-85	30.7955
330.214	-13	-15.69	-69	0.46638	-79	11.8134	5	28.5554	-84	31.7825
330.217	-13	-16.1517	-70	0.43164	-82	12.1535	7	29.4277	-84	32.7695
330.22	-12	-16.6105	-69	0.3998	-82	12.4937	7	30.3001	-83	33.7594
330.223	-10	-17.0635	-67	0.37375	-77	12.8483	6	31.1696	-82	34.7522
330.226	-11	-17.5194	-65	0.35352	-68	13.229	5	32.0361	-80	35.7507
330.229	-13	-17.9812	-63	0.33908	-68	13.6097	4	32.8998	-78	36.7551
330.232	-13	-18.4429	-62	0.32754	-78	13.9614	3	33.7606	-77	37.7624
