b	f0005	0005	0005a	f0020	0020	0020a	f0100	0100	0100a	f0300	0300	0300a	f0500	0500	0500a	f0700	0700	0700a
330.964	9.56716	-1	0	9.56717	9.35	-0.21756	9.5672	-18.1	0	9.56723	-2.7	0	9.56725	21.9818	0	9.56732	15.7464	0
330.967	9.56709	-0.00153	0.02603	9.5671	6.35286	-0.1829	9.56713	-17.1035	-0.03234	9.56715	-0.71524	0.01165	9.56717	15.9724	0.06173	9.56724	16.7285	0.04623
330.969	9.56702	1.99695	0.05703	9.56703	3.35573	-0.15568	9.56706	-16.107	-0.06221	9.56708	2.26953	0.03073	9.5671	10.963	0.11101	9.56717	15.7106	0.08994
330.972	9.56694	3.99542	0.093	9.56695	0.35859	-0.13592	9.56698	-13.1106	-0.08463	9.56701	3.25429	0.05225	9.56703	7.95355	0.15281	9.5671	14.6926	0.13111
330.974	9.56687	5.9939	0.13394	9.56688	-3.63855	-0.1261	9.56691	-12.1141	-0.10457	9.56694	4.23905	0.07622	9.56696	6.94413	0.1921	9.56703	13.6747	0.16975
330.977	9.5668	7.99237	0.17984	9.56681	-5.63568	-0.12124	9.56684	-9.11758	-0.11705	9.56687	2.22381	0.09518	9.56689	6.93472	0.23136	9.56696	12.6567	0.20586
330.979	9.56673	8.99084	0.22823	9.56674	-6.63282	-0.11886	9.56677	-8.1211	-0.12707	9.5668	-0.79143	0.10664	9.56681	6.92531	0.2706	9.56688	9.63879	0.23447
330.982	9.56666	8.98932	0.27661	9.56667	-6.62996	-0.11648	9.5667	-8.12462	-0.13709	9.56672	-2.80667	0.1131	9.56674	8.91589	0.31479	9.56681	7.62085	0.25806
330.984	9.56658	7.98779	0.32251	9.56659	-7.62709	-0.11657	9.56663	-9.12813	-0.1496	9.56665	-4.8219	0.11454	9.56667	10.9065	0.36393	9.56674	3.60292	0.27166
330.987	9.56651	5.98626	0.36343	9.56652	-9.62423	-0.12163	9.56655	-9.13165	-0.16212	9.56658	-5.83714	0.11346	9.5666	11.8971	0.41554	9.56667	0.58498	0.27775
330.989	9.56644	3.98474	0.39937	9.56645	-9.62137	-0.12668	9.56648	-9.13517	-0.17466	9.56651	-4.85238	0.11482	9.56653	13.8877	0.47209	9.5666	-2.43296	0.27635
330.992	9.56637	2.98321	0.43282	9.56638	-8.6185	-0.12924	9.56641	-8.13868	-0.18471	9.56644	-2.86762	0.12112	9.56646	15.8782	0.53359	9.56653	-6.4509	0.26495
