b	fcucl2	cucl2	cucl2a	fcuso4	cuso4	cuso4a
259.967	12.1864	-28.7	0.59451	12.1952	-11.975	-2.37918
259.992	12.1852	-25.6955	0.05121	12.194	-9.95281	-2.43334
260.016	12.1841	-22.6909	-0.41864	12.1929	-8.93062	-2.46251
260.041	12.183	-20.6864	-0.83947	12.1917	-7.90842	-2.46668
260.065	12.1818	-17.6819	-1.18685	12.1906	-7.88623	-2.47032
260.09	12.1807	-15.6774	-1.48522	12.1895	-5.86404	-2.42451
260.114	12.1795	-11.6728	-1.68568	12.1883	-3.84185	-2.32926
260.138	12.1784	-7.66829	-1.78824	12.1872	-1.81966	-2.18457
260.163	12.1772	-3.66376	-1.79288	12.186	-1.79746	-2.03934
260.187	12.1761	-1.65923	-1.74852	12.1849	-2.77527	-1.91801
260.212	12.1749	-0.6547	-1.67959	12.1837	-3.75308	-1.82059
260.236	12.1738	0.34983	-1.58611	12.1826	-4.73089	-1.74708
260.261	12.1727	0.35436	-1.49252	12.1814	-5.7087	-1.69747
260.285	12.1715	1.35889	-1.37436	12.1803	-7.68651	-1.69622
260.31	12.1704	1.36342	-1.2561	12.1791	-7.66431	-1.69443
260.334	12.1692	1.36795	-1.13772	12.178	-6.64212	-1.66765
260.358	12.1681	0.37248	-1.04369	12.1769	-5.61993	-1.61587
260.383	12.1669	0.37701	-0.94954	12.1757	-5.59774	-1.56355
260.407	12.1658	-0.61846	-0.87973	12.1746	-3.57555	-1.46179
260.432	12.1647	-1.61393	-0.83426	12.1734	-1.55336	-1.31059
260.456	12.1635	-1.6094	-0.78868	12.1723	0.46884	-1.10995
260.481	12.1624	-1.60487	-0.74298	12.1711	3.49103	-0.83542
260.505	12.1612	-1.60034	-0.69718	12.17	6.51322	-0.487
260.53	12.1601	-1.59581	-0.65127	12.1689	8.53541	-0.08913
260.554	12.1589	-0.59128	-0.58079	12.1677	8.5576	0.30927
260.579	12.1578	0.41325	-0.48576	12.1666	8.57979	0.70822
260.603	12.1567	2.41778	-0.34172	12.1654	7.60199	1.08326
260.627	12.1555	3.42231	-0.17311	12.1643	4.62418	1.3855
260.652	12.1544	6.42684	0.06895	12.1632	2.64637	1.63938
260.676	12.1532	9.43137	0.38447	12.162	1.66856	1.86935
260.701	12.1521	12.4359	0.77345	12.1609	1.69075	2.09987
260.725	12.151	13.4404	1.18699	12.1597	1.71294	2.33093
260.75	12.1498	14.445	1.62508	12.1586	1.73514	2.56253
260.774	12.1487	14.4495	2.06329	12.1575	3.75733	2.84358
260.799	12.1475	14.454	2.50161	12.1563	5.77952	3.17406
260.823	12.1464	14.4586	2.94004	12.1552	8.80171	3.57843
260.847	12.1453	15.4631	3.40303	12.154	11.8239	4.0567
260.872	12.1441	15.4676	3.86614	12.1529	13.8461	4.5844
260.896	12.143	14.4721	4.3049	12.1518	14.8683	5.1371
260.921	12.1419	12.4767	4.69487	12.1506	15.8905	5.71479
260.945	12.1407	10.4812	5.03606	12.1495	16.9127	6.31747
260.97	12.1396	8.48573	5.32846	12.1483	15.9349	6.89624
260.994	12.1384	7.49026	5.59652	12.1472	14.9571	7.45111
261.019	12.1373	5.49479	5.8158	12.1461	13.9792	7.98207
261.043	12.1362	3.49932	5.98628	12.1449	15.0014	8.53803
261.068	12.135	1.50385	6.10798	12.1438	16.0236	9.11897
261.092	12.1339	-0.49162	6.18089	12.1427	16.0458	9.70046
261.116	12.1328	-2.48709	6.20501	12.1415	16.068	10.2825
261.141	12.1316	-3.48256	6.2048	12.1404	16.0902	10.8651
261.165	12.1305	-5.47803	6.15579	12.1392	18.1124	11.4971
261.19	12.1294	-6.47351	6.08245	12.1381	19.1346	12.1541
261.214	12.1282	-7.46898	5.98477	12.137	20.1568	12.8361
261.239	12.1271	-6.46445	5.91165	12.1358	21.179	13.5431
261.263	12.1259	-5.45992	5.86309	12.1347	22.2012	14.2751
261.288	12.1248	-3.45539	5.86354	12.1336	22.2234	15.0076
261.312	12.1237	-2.45086	5.88855	12.1324	22.2455	15.7406
261.336	12.1225	-0.44633	5.96257	12.1313	22.2677	16.4742
261.361	12.1214	2.5582	6.11004	12.1302	21.2899	17.1839
261.385	12.1203	6.56273	6.35543	12.129	21.3121	17.8942
261.41	12.1191	10.5673	6.69872	12.1279	20.3343	18.5805
261.434	12.118	12.5718	7.09102	12.1268	20.3565	19.2674
261.459	12.1169	13.5763	7.50788	12.1256	18.3787	19.9059
261.483	12.1157	11.5809	7.87595	12.1245	17.4009	20.5205
261.508	12.1146	9.58538	8.19524	12.1234	19.4231	21.1846
261.532	12.1135	7.58991	8.46574	12.1222	21.4453	21.8981
261.557	12.1123	5.59444	8.68745	12.1211	23.4675	22.661
261.581	12.1112	3.59897	8.86037	12.12	23.4897	23.4245
261.605	12.1101	0.6035	8.96006	12.1188	24.5118	24.213
261.63	12.1089	-1.39197	9.01095	12.1177	24.534	25.002
261.654	12.1078	-2.38744	9.03751	12.1166	24.5562	25.7916
261.679	12.1067	-3.38291	9.03973	12.1154	25.5784	26.6061
261.703	12.1056	-3.37838	9.04207	12.1143	27.6006	27.4701
261.728	12.1044	-2.37385	9.06896	12.1132	29.6228	28.3836
261.752	12.1033	-1.36932	9.12041	12.112	29.645	29.2975
261.777	12.1022	-0.36479	9.19642	12.1109	30.6672	30.2365
261.801	12.101	0.63974	9.29699	12.1098	30.6894	31.176
261.825	12.0999	1.64427	9.42212	12.1086	31.7116	32.1405
261.85	12.0988	2.6488	9.57181	12.1075	31.7338	33.1056
261.874	12.0976	1.65333	9.69717	12.1064	31.7559	34.0712
261.899	12.0965	0.65786	9.79818	12.1052	29.7781	34.9884
261.923	12.0954	0.66239	9.89931	12.1041	27.8003	35.8573
261.948	12.0943	1.66692	10.025	12.103	26.8225	36.7022
261.972	12.0931	2.67145	10.1752	12.1019	25.8447	37.5233
261.997	12.092	2.67598	10.3256	12.1007	23.8669	38.296
262.021	12.0909	2.68051	10.4761	12.0996	22.8891	39.0448
262.045	12.0897	2.68504	10.6266	12.0985	22.9113	39.7941
262.07	12.0886	1.68957	10.7529	12.0973	22.9335	40.544
262.094	12.0875	-0.3059	10.8303	12.0962	24.9557	41.3434
262.119	12.0864	-2.30137	10.859	12.0951	26.9779	42.1921
262.143	12.0852	-4.29684	10.8389	12.094	27.0001	43.0414
262.168	12.0841	-6.29231	10.77	12.0928	27.0223	43.8913
262.192	12.083	-8.28778	10.6523	12.0917	27.0445	44.7417
262.217	12.0819	-11.2833	10.4613	12.0906	27.0666	45.5926
262.241	12.0807	-13.2787	10.2216	12.0894	27.0888	46.4441
262.266	12.0796	-17.2742	9.88419	12.0883	27.111	47.2961
262.29	12.0785	-19.2697	9.49799	12.0872	26.1332	48.1242
262.314	12.0773	-19.2651	9.1119	12.0861	25.1554	48.9284
262.339	12.0762	-19.2606	8.72592	12.0849	23.1776	49.6843
262.363	12.0751	-18.2561	8.36451	12.0838	21.1998	50.3918
262.388	12.074	-17.2515	8.02765	12.0827	19.222	51.0509
262.412	12.0728	-15.247	7.7398	12.0816	17.2442	51.6617
262.437	12.0717	-13.2425	7.50097	12.0804	16.2664	52.2486
262.461	12.0706	-12.238	7.28669	12.0793	16.2886	52.836
262.486	12.0695	-10.2334	7.12142	12.0782	17.3107	53.4484
262.51	12.0683	-9.22889	6.98071	12.0771	17.3329	54.0614
262.534	12.0672	-8.22436	6.86456	12.0759	18.3551	54.6993
262.559	12.0661	-8.21983	6.74852	12.0748	18.3773	55.3378
262.583	12.065	-7.2153	6.65704	12.0737	18.3995	55.9769
262.608	12.0639	-6.21077	6.59013	12.0726	18.4217	56.6164
262.632	12.0627	-6.20624	6.52332	12.0714	18.4439	57.2565
262.657	12.0616	-6.20171	6.45662	12.0703	18.4661	57.8972
