b	fn2	n2	n2a	fo2	o2	o2a
333.51	9.49607	-47.225	-0.30767	9.50917	5.225	-0.56486
333.511	9.49603	-42.2099	-0.33742	9.50914	7.23353	-0.52618
333.512	9.496	-36.1948	-0.35968	9.5091	8.24207	-0.48624
333.513	9.49596	-30.1797	-0.37447	9.50907	8.2506	-0.44629
333.515	9.49593	-25.1647	-0.38303	9.50903	9.25914	-0.40508
333.516	9.49589	-20.1496	-0.38535	9.509	7.26767	-0.36635
333.517	9.49585	-17.1345	-0.38392	9.50896	3.27621	-0.33259
333.518	9.49582	-13.1194	-0.3775	9.50893	-1.71526	-0.30502
333.52	9.49578	-8.10431	-0.36484	9.50889	-3.70672	-0.27994
333.521	9.49575	-3.08923	-0.34595	9.50886	-5.69819	-0.25733
333.522	9.49571	-2.07414	-0.3258	9.50882	-7.68965	-0.23719
333.523	9.49568	-3.05906	-0.30688	9.50878	-8.68112	-0.21829
333.525	9.49564	-5.04397	-0.29042	9.50875	-8.67258	-0.19938
333.526	9.49561	-5.02889	-0.27394	9.50871	-7.66405	-0.17921
333.527	9.49557	-5.0138	-0.25744	9.50868	-8.65551	-0.16028
333.528	9.49554	-4.99872	-0.24093	9.50864	-9.64698	-0.14258
333.53	9.4955	-4.98363	-0.22439	9.50861	-8.63844	-0.12363
333.531	9.49546	-2.96855	-0.20535	9.50857	-8.62991	-0.10466
333.532	9.49543	2.04654	-0.18008	9.50854	-6.62138	-0.0832
333.533	9.49539	9.06163	-0.14608	9.5085	-4.61284	-0.05924
333.535	9.49536	13.0767	-0.1071	9.50847	-2.60431	-0.03278
333.536	9.49532	16.0918	-0.06436	9.50843	-1.59577	-0.00507
333.537	9.49529	19.1069	-0.01788	9.5084	0.41276	0.02513
333.538	9.49525	20.122	0.02986	9.50836	2.4213	0.05784
333.54	9.49522	23.137	0.08136	9.50832	2.42983	0.09055
333.541	9.49518	24.1521	0.13411	9.50829	3.43837	0.12452
333.542	9.49515	25.1672	0.18813	9.50825	3.4469	0.1585
333.543	9.49511	24.1823	0.24092	9.50822	3.45544	0.19249
333.545	9.49508	22.1974	0.29125	9.50818	5.46397	0.22898
333.546	9.49504	18.2125	0.33662	9.50815	7.47251	0.26796
333.547	9.495	13.2276	0.37579	9.50811	9.48104	0.30944
333.548	9.49497	8.24265	0.40877	9.50808	9.48958	0.35093
333.55	9.49493	5.25774	0.43803	9.50804	6.49811	0.3887
333.551	9.4949	4.27282	0.46608	9.50801	3.50665	0.42276
333.552	9.49486	5.28791	0.49538	9.50797	1.51518	0.45433
