mag	a	aa	b	ba	c	ca	d	da	e	ea	f	fa	g	ga	h	ha	i	ia	k	ka
328.865	-8.35	2.58155	2.57499	1E-5	-1.325	2.18557	-87	-1E-5	-4.39762	0.85938	9.13107	0	-1.6	0.00396	19.65	-0.09535	19.925	-0.16228	11.2679	-0.09486
328.868	-8.32649	2.43299	2.61225	-0.13718	-3.30278	2.06767	-84	-0.01501	-5.38998	0.80076	7.13723	0.00269	-2.60272	0.00281	20.6522	-0.0495	11.9262	-0.11718	10.2708	-0.07116
328.87	-8.30298	2.28448	1.64951	-0.27676	-7.28056	1.93987	-82	-0.02504	-4.38233	0.74465	6.14339	0.00291	-2.60544	0.00165	18.6544	-0.00862	6.92733	-0.08451	8.27376	-0.05242
328.873	-7.27947	2.13852	1.68677	-0.41626	-9.25835	1.80716	-80	-0.0301	-3.37469	0.69104	3.14955	-0.00431	-2.60817	4.9E-4	16.6566	0.02729	2.9285	-0.06178	6.27668	-0.03865
328.875	-6.25596	1.9951	0.72403	-0.55814	-11.2361	1.66953	-79	-0.03268	-1.36704	0.64243	2.15571	-0.014	-2.61089	-6.8E-4	15.6587	0.06073	-0.07034	-0.04651	4.27961	-0.02984
328.878	-4.23245	1.85672	-0.23871	-0.70242	-11.2139	1.53196	-78	-0.03276	1.6406	0.60129	1.16186	-0.02616	-1.61361	6.3E-4	12.6609	0.08671	-3.06917	-0.03869	4.28254	-0.02102
328.88	-4.20894	1.71839	-0.20145	-0.84661	-10.1917	1.39692	-78	-0.03285	4.64825	0.56763	2.16802	-0.03582	-1.61634	0.00193	11.6631	0.1102	-5.068	-0.03584	6.28547	-0.00723
328.883	-4.18543	1.58012	-0.16419	-0.9907	-8.16948	1.26692	-77	-0.03045	8.65589	0.54393	2.17418	-0.04547	-1.61906	0.00323	10.6653	0.13122	-6.06684	-0.03548	6.2884	0.00657
328.885	-4.16192	1.44191	0.87306	-1.13221	-7.14727	1.13946	-76	-0.02556	9.66354	0.52274	2.18034	-0.0551	-3.62178	-4.5E-4	9.66749	0.14975	-7.06567	-0.0376	5.29133	0.0179
328.888	-3.13841	1.30624	1.91032	-1.27115	-5.12505	1.01702	-75	-0.01819	8.67118	0.49908	1.1865	-0.0672	-4.6245	-0.00663	7.66967	0.16332	-8.06451	-0.0422	5.29426	0.02923
328.89	-2.1149	1.17312	2.94758	-1.40751	-4.10284	0.89713	-74	-0.00833	8.67882	0.47545	0.19266	-0.08177	-5.62723	-0.0153	5.67186	0.17192	-8.06334	-0.0468	4.29718	0.03808
328.893	-1.09139	1.04255	2.98484	-1.54377	-3.08062	0.77978	-74	0.00153	8.68647	0.45183	-0.80119	-0.09882	-4.62995	-0.02149	4.67404	0.17804	-7.06217	-0.04891	2.30011	0.04196
328.895	-1.06788	0.91203	3.0221	-1.67994	-1.0584	0.66745	-76	0.00642	7.69411	0.42574	-0.79503	-0.11585	-5.63267	-0.03017	3.67623	0.18168	-8.06101	-0.05351	0.30304	0.04088
328.898	-2.04437	0.77908	3.05936	-1.81602	0.96381	0.56015	-78	0.00633	7.70175	0.39967	0.21113	-0.13037	-6.6354	-0.04135	3.67841	0.18533	-8.05984	-0.0581	0.30597	0.03981
328.9	-1.02086	0.64868	2.09662	-1.95449	0.98603	0.45291	-81	-0.00122	7.7094	0.37362	1.21729	-0.1424	-7.63812	-0.05502	2.6806	0.18649	-8.05868	-0.06269	1.3089	0.04123
328.903	-0.99735	0.51834	3.13388	-2.09039	1.00824	0.34573	-83	-0.01373	6.71704	0.34511	4.22345	-0.14695	-7.64084	-0.06869	1.68279	0.18517	-7.05751	-0.06479	2.31183	0.04515
328.905	-0.97384	0.38806	4.17113	-2.2237	0.03046	0.23611	-84	-0.02874	4.72469	0.31164	7.22961	-0.14402	-7.64356	-0.08238	1.68497	0.18386	-7.05634	-0.06688	2.31476	0.04907
328.908	-1.95033	0.25534	5.20839	-2.35444	1.05268	0.12904	-85	-0.04623	2.73233	0.27321	8.23577	-0.1386	-8.64629	-0.09855	1.68716	0.18256	-7.05518	-0.06898	3.31768	0.05549
328.91	-1.92682	0.12269	6.24565	-2.48259	3.07489	0.02699	-84	-0.06123	0.73998	0.22983	8.24192	-0.13316	-7.64901	-0.11225	-1.31066	0.1738	-8.05401	-0.07356	3.32061	0.06191
328.913	-1.90331	-0.0099	5.28291	-2.61314	5.09711	-0.07003	-83	-0.07375	-1.25238	0.1815	8.24808	-0.1277	-7.65173	-0.12595	-4.30847	0.15758	-9.05285	-0.08062	2.32354	0.06585
328.915	-0.87979	-0.13995	5.32017	-2.7436	7.11933	-0.16202	-80	-0.07881	-4.24474	0.12573	9.25424	-0.11975	-5.65446	-0.13469	-6.30629	0.1364	-11.0517	-0.09265	2.32647	0.06981
328.918	0.14372	-0.26746	6.35743	-2.87148	8.14154	-0.25147	-78	-0.0789	-10.2371	0.05506	8.2604	-0.11426	-3.65718	-0.13846	-8.3041	0.11025	-12.0505	-0.10716	1.3294	0.07128
328.92	-0.83277	-0.39739	6.39469	-2.99927	10.1638	-0.33589	-75	-0.07152	-14.2295	-0.02553	6.26656	-0.11373	-1.6599	-0.13726	-9.30192	0.08162	-11.0494	-0.11919	0.33233	0.07027
328.923	-1.80926	-0.52975	6.43195	-3.12696	11.186	-0.41778	-74	-0.06166	-16.2218	-0.11109	4.27272	-0.11816	0.33738	-0.1311	-8.29973	0.05549	-9.04818	-0.12623	-0.66475	0.06679
328.925	-1.78575	-0.66206	6.46921	-3.25456	10.2082	-0.50209	-74	-0.0518	-15.2142	-0.19413	3.27887	-0.12506	2.33465	-0.11998	-9.29754	0.02687	-7.04702	-0.12831	-0.66182	0.06331
328.927	-2.76224	-0.79679	6.50646	-3.38207	9.23041	-0.58883	-75	-0.04443	-14.2065	-0.27467	2.28503	-0.13443	5.33193	-0.1014	-9.29536	-0.00174	-4.04585	-0.12292	-0.65889	0.05984
328.93	-2.73873	-0.93146	5.54372	-3.51197	9.25262	-0.67552	-77	-0.04203	-13.1989	-0.3527	0.29119	-0.14876	7.32921	-0.07785	-8.29317	-0.02786	-0.04468	-0.10758	-0.65596	0.05637
328.932	-0.71522	-1.0611	4.58098	-3.64426	8.27484	-0.76464	-78	-0.04212	-11.1912	-0.42575	-1.70265	-0.16804	9.32648	-0.04934	-8.29099	-0.05398	2.95648	-0.08478	-0.65303	0.05292
328.935	1.30829	-1.18571	2.61824	-3.78144	8.29705	-0.8537	-77	-0.03972	-9.18358	-0.4938	-5.69649	-0.19726	10.3238	-0.01835	-9.2888	-0.08258	6.95765	-0.05204	-1.6501	0.04698
328.937	3.3318	-1.30529	0.6555	-3.9235	6.31927	-0.94768	-74	-0.02986	-6.17594	-0.55437	-7.69033	-0.23143	12.321	0.0176	-9.28662	-0.11117	10.9588	-0.00934	-2.64717	0.03857
328.94	5.35531	-1.41983	-1.30724	-4.07043	4.34149	-1.04658	-71	-0.01254	-2.16829	-0.60498	-9.68417	-0.27056	12.3183	0.05355	-9.28443	-0.13975	11.96	0.03584	-4.64425	0.02519
328.942	7.37882	-1.52935	-4.26998	-4.22473	2.3637	-1.15039	-69	0.00975	-0.16065	-0.6506	-10.678	-0.31216	11.3156	0.08701	-8.28224	-0.16585	12.9612	0.08352	-6.64132	0.00684
328.945	8.40233	-1.63632	-6.23272	-4.38392	1.38592	-1.25664	-67	0.03701	0.84699	-0.69371	-11.6719	-0.35623	10.3129	0.11797	-8.28006	-0.19194	12.9623	0.13119	-7.63839	-0.01398
328.947	9.42584	-1.74075	-9.19547	-4.55046	-0.59187	-1.3678	-66	0.06676	1.85464	-0.73431	-11.6657	-0.40029	8.31015	0.14396	-8.27787	-0.21802	11.9635	0.17639	-9.63546	-0.03977
328.95	10.4494	-1.84263	-10.1582	-4.71941	-1.56965	-1.4814	-66	0.09651	3.86228	-0.76993	-9.65954	-0.43936	6.30743	0.16496	-7.27569	-0.24161	10.9647	0.2191	-10.6325	-0.06804
